test_id,dataset,task,capability,original,counterfactual,relation,minimality_score,grammaticality_score,label_validity_score,semantic_control_score,auto_quality_mean,human_validated,human_notes
sst2_temp_0001,sst2,sentiment,temporal_sentiment,"At first the film was boring, but finally it became excellent.","At first the film was excellent, but finally it became boring.",directional,1.0,1.0,1.0,1.0,1.0,False,
sst2_temp_0002,sst2,sentiment,temporal_sentiment,"Earlier the service was bad, but now it is wonderful.","Earlier the service was wonderful, but now it is bad.",directional,1.0,1.0,1.0,1.0,1.0,False,
sst2_temp_0003,sst2,sentiment,temporal_sentiment,"I expected it to be great, but it ended terribly.","I expected it to be terrible, but it ended greatly.",directional,0.6363636363636364,1.0,1.0,1.0,0.9090909090909091,False,
sst2_entity_0000,sst2,sentiment,entity_invariance,John said the service was excellent.,Mary said the service was excellent.,invariance,0.7142857142857143,1.0,1.0,1.0,0.9285714285714286,False,
sst2_entity_0001,sst2,sentiment,entity_invariance,Alice said the service was excellent.,Robert said the service was excellent.,invariance,0.7142857142857143,1.0,1.0,1.0,0.9285714285714286,False,
sst2_entity_0002,sst2,sentiment,entity_invariance,David said the service was excellent.,Sarah said the service was excellent.,invariance,0.7142857142857143,1.0,1.0,1.0,0.9285714285714286,False,
sst2_entity_0003,sst2,sentiment,entity_invariance,Michael said the service was excellent.,Emma said the service was excellent.,invariance,0.7142857142857143,1.0,1.0,1.0,0.9285714285714286,False,
sst2_robust_0000,sst2,sentiment,robustness,it confirms fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight . ,it confirms fincher 's status as a fiilm maker who artfully bends technical know-how to the service of psychological insight . ,invariance,0.9090909090909091,1.0,1.0,1.0,0.9772727272727273,False,
sst2_robust_0001,sst2,sentiment,robustness,too much of it feels unfocused and underdeveloped . ,too muchh of it feels unfocused and underdeveloped .,invariance,0.7777777777777778,1.0,1.0,1.0,0.9444444444444444,False,
sst2_robust_0002,sst2,sentiment,robustness,a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . ,a greeat ensemble cast ca n't lift this heartfelt enterprise out of the familiar . ,invariance,0.8666666666666667,1.0,1.0,1.0,0.9666666666666667,False,
sst2_robust_0003,sst2,sentiment,robustness,"prurient playthings aside , there 's little to love about this english trifle . ","prurient playthingss aside , there 's little to love about this english trifle .",invariance,0.8461538461538461,1.0,1.0,1.0,0.9615384615384616,False,
sst2_robust_0004,sst2,sentiment,robustness,"it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise . ","it movess quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise .",invariance,0.9166666666666666,1.0,1.0,1.0,0.9791666666666666,False,
sst2_robust_0005,sst2,sentiment,robustness,"it proves quite compelling as an intense , brooding character study . ","it provess quite compelling as an intense , brooding character study .",invariance,0.8181818181818182,1.0,1.0,1.0,0.9545454545454546,False,
sst2_robust_0006,sst2,sentiment,robustness,bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid . ,bogdanovich tantalizess by offering a peep show into the lives of the era 's creme de la celluloid .,invariance,0.8888888888888888,1.0,1.0,1.0,0.9722222222222222,False,
sst2_robust_0007,sst2,sentiment,robustness,looks and feels like a project better suited for the small screen . ,looks andd feels like a project better suited for the small screen .,invariance,0.8461538461538461,1.0,1.0,1.0,0.9615384615384616,False,
sst2_robust_0008,sst2,sentiment,robustness,verbinski implements every hack-artist trick to give us the ooky-spookies . ,verbinski implementss every hack-artist trick to give us the ooky-spookies .,invariance,0.8461538461538461,1.0,1.0,1.0,0.9615384615384616,False,
sst2_robust_0009,sst2,sentiment,robustness,"this is a good script , good dialogue , funny even for adults . ","this is a goood script , good dialogue , funny even for adults . ",invariance,0.9090909090909091,1.0,1.0,1.0,0.9772727272727273,False,
sst2_robust_0010,sst2,sentiment,robustness,a painfully funny ode to bad behavior . ,a painfully funny ode to baad behavior . ,invariance,0.75,1.0,1.0,1.0,0.9375,False,
sst2_robust_0011,sst2,sentiment,robustness,"there is a fabric of complex ideas here , and feelings that profoundly deepen them . ","there iss a fabric of complex ideas here , and feelings that profoundly deepen them .",invariance,0.8666666666666667,1.0,1.0,1.0,0.9666666666666667,False,
sst2_robust_0012,sst2,sentiment,robustness,the overall effect is less like a children 's movie than a recruitment film for future hollywood sellouts . ,the overall effect is less like a children 's moovie than a recruitment film for future hollywood sellouts . ,invariance,0.8888888888888888,1.0,1.0,1.0,0.9722222222222222,False,
sst2_robust_0013,sst2,sentiment,robustness,"as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers . ","as thee two leads , lathan and diggs are charming and have chemistry both as friends and lovers .",invariance,0.8666666666666667,1.0,1.0,1.0,0.9666666666666667,False,
sst2_robust_0014,sst2,sentiment,robustness,"the title not only describes its main characters , but the lazy people behind the camera as well . ","the titlee not only describes its main characters , but the lazy people behind the camera as well .",invariance,0.875,1.0,1.0,1.0,0.96875,False,
sst2_robust_0015,sst2,sentiment,robustness,zhang ... has done an amazing job of getting realistic performances from his mainly nonprofessional cast . ,zhang .... has done an amazing job of getting realistic performances from his mainly nonprofessional cast .,invariance,1.0,1.0,1.0,1.0,1.0,False,
sst2_robust_0016,sst2,sentiment,robustness,"not only is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time . ","not onlyy is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time .",invariance,0.9375,1.0,1.0,1.0,0.984375,False,
sst2_robust_0017,sst2,sentiment,robustness,"beautifully observed , miraculously unsentimental comedy-drama . ","beautifully observedd , miraculously unsentimental comedy-drama .",invariance,0.7142857142857143,1.0,1.0,1.0,0.9285714285714286,False,
sst2_robust_0018,sst2,sentiment,robustness,"the last 20 minutes are somewhat redeeming , but most of the movie is the same teenage american road-trip drek we 've seen before - only this time you have to read the fart jokes ","the last 20 minutes are somewhat redeeming , but most of the moovie is the same teenage american road-trip drek we 've seen before - only this time you have to read the fart jokes ",invariance,0.9375,1.0,1.0,1.0,0.984375,False,
sst2_robust_0019,sst2,sentiment,robustness,if you dig on david mamet 's mind tricks ... rent this movie and enjoy ! ,if you dig on david mamet 's mind tricks ... rent this moovie and enjoy ! ,invariance,0.8666666666666667,1.0,1.0,1.0,0.9666666666666667,False,
sst2_robust_0020,sst2,sentiment,robustness,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ","for alll its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam .",invariance,0.92,1.0,1.0,1.0,0.98,False,
sst2_robust_0021,sst2,sentiment,robustness,"yes , dull . ","yes ,, dull .",invariance,1.0,0.0,1.0,1.0,0.75,False,
sst2_robust_0022,sst2,sentiment,robustness,"shaky close-ups of turkey-on-rolls , stubbly chins , liver spots , red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere . ","shaky close-upss of turkey-on-rolls , stubbly chins , liver spots , red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere .",invariance,0.9230769230769231,1.0,1.0,1.0,0.9807692307692308,False,
sst2_robust_0023,sst2,sentiment,robustness,the second coming of harry potter is a film far superior to its predecessor . ,the second coming of harry potter is a fiilm far superior to its predecessor . ,invariance,0.8666666666666667,1.0,1.0,1.0,0.9666666666666667,False,
sst2_robust_0024,sst2,sentiment,robustness,"if you 're hard up for raunchy college humor , this is your ticket right here . ","if youu 're hard up for raunchy college humor , this is your ticket right here .",invariance,0.875,1.0,1.0,1.0,0.96875,False,
sst2_robust_0025,sst2,sentiment,robustness,"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting . ","nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and baad acting . ",invariance,0.8888888888888888,1.0,1.0,1.0,0.9722222222222222,False,
sst2_robust_0026,sst2,sentiment,robustness,"a delectable and intriguing thriller filled with surprises , read my lips is an original . ","a delectablee and intriguing thriller filled with surprises , read my lips is an original .",invariance,0.8666666666666667,1.0,1.0,1.0,0.9666666666666667,False,
sst2_robust_0027,sst2,sentiment,robustness,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","thanks too scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men .",invariance,0.9130434782608695,1.0,1.0,1.0,0.9782608695652174,False,
sst2_robust_0028,sst2,sentiment,robustness,there 's no emotional pulse to solaris . ,there 'ss no emotional pulse to solaris .,invariance,0.75,1.0,1.0,1.0,0.9375,False,
sst2_robust_0029,sst2,sentiment,robustness,"a fast , funny , highly enjoyable movie . ","a fast , funny , highly enjoyable moovie . ",invariance,0.7142857142857143,1.0,1.0,1.0,0.9285714285714286,False,
sst2_robust_0030,sst2,sentiment,robustness,"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle defies an easy categorization . ","too restrainedd to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle defies an easy categorization .",invariance,0.9047619047619048,1.0,1.0,1.0,0.9761904761904762,False,
sst2_robust_0031,sst2,sentiment,robustness,an unwise amalgam of broadcast news and vibes . ,an unwisee amalgam of broadcast news and vibes .,invariance,0.7777777777777778,1.0,1.0,1.0,0.9444444444444444,False,
sst2_robust_0032,sst2,sentiment,robustness,"a pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable . ","a pleasant enough romance with intellectual underpinnings , the kind of moovie that entertains even as it turns maddeningly predictable . ",invariance,0.9,1.0,1.0,1.0,0.975,False,
sst2_robust_0033,sst2,sentiment,robustness,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","it 'ss not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks .",invariance,0.9259259259259259,1.0,1.0,1.0,0.9814814814814815,False,
sst2_robust_0034,sst2,sentiment,robustness,it 's hard to imagine alan arkin being better than he is in this performance . ,it 'ss hard to imagine alan arkin being better than he is in this performance .,invariance,0.875,1.0,1.0,1.0,0.96875,False,
sst2_robust_0035,sst2,sentiment,robustness,"dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth 's best soundtrack in years . ","dazzles withh its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth 's best soundtrack in years .",invariance,0.9090909090909091,1.0,1.0,1.0,0.9772727272727273,False,
sst2_robust_0036,sst2,sentiment,robustness,"fun , flip and terribly hip bit of cinematic entertainment . ","fun ,, flip and terribly hip bit of cinematic entertainment .",invariance,1.0,1.0,1.0,1.0,1.0,False,
sst2_robust_0037,sst2,sentiment,robustness,the movie fails to live up to the sum of its parts . ,the moovie fails to live up to the sum of its parts . ,invariance,0.8181818181818182,1.0,1.0,1.0,0.9545454545454546,False,
sst2_robust_0038,sst2,sentiment,robustness,one of the more intelligent children 's movies to hit theaters this year . ,one off the more intelligent children 's movies to hit theaters this year .,invariance,0.8571428571428571,1.0,1.0,1.0,0.9642857142857143,False,
sst2_robust_0039,sst2,sentiment,robustness,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in . ,corpus collosumm -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in .,invariance,0.9,1.0,1.0,1.0,0.975,False,
sst2_robust_0040,sst2,sentiment,robustness,the performances take the movie to a higher level . ,the performances take the moovie to a higher level . ,invariance,0.7777777777777778,1.0,1.0,1.0,0.9444444444444444,False,
sst2_robust_0041,sst2,sentiment,robustness,"one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution . ","one off those pictures whose promising , if rather precious , premise is undercut by amateurish execution .",invariance,0.875,1.0,1.0,1.0,0.96875,False,
sst2_robust_0042,sst2,sentiment,robustness,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ,a compelling spanish fiilm about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ,invariance,0.9166666666666666,1.0,1.0,1.0,0.9791666666666666,False,
sst2_robust_0043,sst2,sentiment,robustness,uses high comedy to evoke surprising poignance . ,uses highh comedy to evoke surprising poignance .,invariance,0.75,1.0,1.0,1.0,0.9375,False,
sst2_robust_0044,sst2,sentiment,robustness,it has all the excitement of eating oatmeal . ,it hass all the excitement of eating oatmeal .,invariance,0.7777777777777778,1.0,1.0,1.0,0.9444444444444444,False,
sst2_robust_0045,sst2,sentiment,robustness,"feature debuter d.j. caruso directs a crack ensemble cast , bringing screenwriter tony gayton 's narcotics noir to life . ","feature debuterr d.j. caruso directs a crack ensemble cast , bringing screenwriter tony gayton 's narcotics noir to life .",invariance,0.9,1.0,1.0,1.0,0.975,False,
sst2_robust_0046,sst2,sentiment,robustness,"the old-world - meets-new mesh is incarnated in the movie 's soundtrack , a joyful effusion of disco bollywood that , by the end of monsoon wedding , sent my spirit soaring out of the theater . ","the old-world - meets-new mesh is incarnated in the moovie 's soundtrack , a joyful effusion of disco bollywood that , by the end of monsoon wedding , sent my spirit soaring out of the theater . ",invariance,0.9333333333333333,1.0,1.0,1.0,0.9833333333333334,False,
sst2_robust_0047,sst2,sentiment,robustness,"an important movie , a reminder of the power of film to move us and to make us examine our values . ","an important moovie , a reminder of the power of film to move us and to make us examine our values . ",invariance,0.8888888888888888,1.0,1.0,1.0,0.9722222222222222,False,
sst2_robust_0048,sst2,sentiment,robustness,it 's a bit disappointing that it only manages to be decent instead of dead brilliant . ,it 'ss a bit disappointing that it only manages to be decent instead of dead brilliant .,invariance,0.875,1.0,1.0,1.0,0.96875,False,
sst2_robust_0049,sst2,sentiment,robustness,it 's not the ultimate depression-era gangster movie . ,it 's not the ultimate depression-era gangster moovie . ,invariance,0.8,1.0,1.0,1.0,0.95,False,
sst2_robust_0050,sst2,sentiment,robustness,"it has the charm of the original american road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland . ","it hass the charm of the original american road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland .",invariance,0.8888888888888888,1.0,1.0,1.0,0.9722222222222222,False,
sst2_robust_0051,sst2,sentiment,robustness,"the vitality of the actors keeps the intensity of the film high , even as the strafings blend together . ","the vitality of the actors keeps the intensity of the fiilm high , even as the strafings blend together . ",invariance,0.8571428571428571,1.0,1.0,1.0,0.9642857142857143,False,
sst2_robust_0052,sst2,sentiment,robustness,"the movie is n't just hilarious : it 's witty and inventive , too , and in hindsight , it is n't even all that dumb . ","the moovie is n't just hilarious : it 's witty and inventive , too , and in hindsight , it is n't even all that dumb . ",invariance,0.8947368421052632,1.0,1.0,1.0,0.9736842105263158,False,
sst2_robust_0053,sst2,sentiment,robustness,"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ","it 'ss difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role .",invariance,0.9583333333333334,1.0,1.0,1.0,0.9895833333333334,False,
sst2_robust_0054,sst2,sentiment,robustness,"while locals will get a kick out of spotting cleveland sites , the rest of the world will enjoy a fast-paced comedy with quirks that might make the award-winning coen brothers envious . ","while localss will get a kick out of spotting cleveland sites , the rest of the world will enjoy a fast-paced comedy with quirks that might make the award-winning coen brothers envious .",invariance,0.9310344827586207,1.0,1.0,1.0,0.9827586206896551,False,
sst2_robust_0055,sst2,sentiment,robustness,broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case . ,broomfield turnss his distinctive ` blundering ' style into something that could really help clear up the case .,invariance,0.8888888888888888,1.0,1.0,1.0,0.9722222222222222,False,
sst2_robust_0056,sst2,sentiment,robustness,oh come on . ,oh comee on .,invariance,0.5,1.0,1.0,1.0,0.875,False,
sst2_robust_0057,sst2,sentiment,robustness,"awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . ' ","awesome creaturess , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . '",invariance,0.875,1.0,1.0,1.0,0.96875,False,
sst2_robust_0058,sst2,sentiment,robustness,"paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface . ","paid inn full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface .",invariance,0.9545454545454546,1.0,1.0,1.0,0.9886363636363636,False,
sst2_robust_0059,sst2,sentiment,robustness,"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ","warm water under a red bridge is a quirky and poignant japanese fiilm that explores the fascinating connections between women , water , nature , and sexuality . ",invariance,0.9090909090909091,1.0,1.0,1.0,0.9772727272727273,False,
sst2_robust_0060,sst2,sentiment,robustness,the wild thornberrys movie is a jolly surprise . ,the wild thornberrys moovie is a jolly surprise . ,invariance,0.7777777777777778,1.0,1.0,1.0,0.9444444444444444,False,
sst2_robust_0061,sst2,sentiment,robustness,"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ","the fiilm flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ",invariance,0.8947368421052632,1.0,1.0,1.0,0.9736842105263158,False,
sst2_robust_0062,sst2,sentiment,robustness,"for the first time in years , de niro digs deep emotionally , perhaps because he 's been stirred by the powerful work of his co-stars . ","for thee first time in years , de niro digs deep emotionally , perhaps because he 's been stirred by the powerful work of his co-stars .",invariance,0.96,1.0,1.0,1.0,0.99,False,
sst2_robust_0063,sst2,sentiment,robustness,"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ","escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist moovie . ",invariance,0.8571428571428571,1.0,1.0,1.0,0.9642857142857143,False,
sst2_robust_0064,sst2,sentiment,robustness,"a moody , multi-dimensional love story and sci-fi mystery , solaris is a thought-provoking , haunting film that allows the seeds of the imagination to germinate . ","a moody , multi-dimensional love story and sci-fi mystery , solaris is a thought-provoking , haunting fiilm that allows the seeds of the imagination to germinate . ",invariance,0.92,1.0,1.0,1.0,0.98,False,
sst2_robust_0065,sst2,sentiment,robustness,"a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences . ","a celebrationn of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences .",invariance,0.9,1.0,1.0,1.0,0.975,False,
sst2_robust_0066,sst2,sentiment,robustness,"harris commands the screen , using his frailty to suggest the ravages of a life of corruption and ruthlessness . ","harris commandss the screen , using his frailty to suggest the ravages of a life of corruption and ruthlessness .",invariance,0.8823529411764706,1.0,1.0,1.0,0.9705882352941176,False,
sst2_robust_0067,sst2,sentiment,robustness,"it does nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they 're being streamed over a 28k modem . ","it doess nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they 're being streamed over a 28k modem .",invariance,0.9428571428571428,1.0,1.0,1.0,0.9857142857142858,False,
sst2_robust_0068,sst2,sentiment,robustness,"martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid . ","martin andd barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid .",invariance,0.9565217391304348,1.0,1.0,1.0,0.9891304347826086,False,
sst2_robust_0069,sst2,sentiment,robustness,"as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul . ","as aa first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul .",invariance,0.9047619047619048,1.0,1.0,1.0,0.9761904761904762,False,
sst2_robust_0070,sst2,sentiment,robustness,"the result is a gaudy bag of stale candy , something from a halloween that died . ","the resultt is a gaudy bag of stale candy , something from a halloween that died .",invariance,0.8666666666666667,1.0,1.0,1.0,0.9666666666666667,False,
sst2_robust_0071,sst2,sentiment,robustness,it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters . ,it is greeat summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters . ,invariance,0.9,1.0,1.0,1.0,0.975,False,
sst2_robust_0072,sst2,sentiment,robustness,"the best revenge may just be living well because this film , unlike other dumas adaptations , is far more likened to a treasure than a lengthy jail sentence . ","the best revenge may just be living well because this fiilm , unlike other dumas adaptations , is far more likened to a treasure than a lengthy jail sentence . ",invariance,0.9259259259259259,1.0,1.0,1.0,0.9814814814814815,False,
sst2_robust_0073,sst2,sentiment,robustness,"sticky sweet sentimentality , clumsy plotting and a rosily myopic view of life in the wwii-era mississippi delta undermine this adaptation . ","sticky sweett sentimentality , clumsy plotting and a rosily myopic view of life in the wwii-era mississippi delta undermine this adaptation .",invariance,0.9090909090909091,1.0,1.0,1.0,0.9772727272727273,False,
sst2_robust_0074,sst2,sentiment,robustness,"even if you do n't think ( kissinger 's ) any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch . ","even if you do n't think ( kissinger 's ) any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial greeat fun to watch . ",invariance,0.9333333333333333,1.0,1.0,1.0,0.9833333333333334,False,
sst2_robust_0075,sst2,sentiment,robustness,"forced , familiar and thoroughly condescending . ","forced ,, familiar and thoroughly condescending .",invariance,1.0,1.0,1.0,1.0,1.0,False,
sst2_robust_0076,sst2,sentiment,robustness,"this is a winning ensemble comedy that shows canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world . ","this iss a winning ensemble comedy that shows canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world .",invariance,0.9310344827586207,1.0,1.0,1.0,0.9827586206896551,False,
sst2_robust_0077,sst2,sentiment,robustness,"scores no points for originality , wit , or intelligence . ","scores noo points for originality , wit , or intelligence .",invariance,0.7777777777777778,1.0,1.0,1.0,0.9444444444444444,False,
sst2_robust_0078,sst2,sentiment,robustness,"an entertaining , colorful , action-filled crime story with an intimate heart . ","an entertainingg , colorful , action-filled crime story with an intimate heart .",invariance,0.8181818181818182,1.0,1.0,1.0,0.9545454545454546,False,
sst2_robust_0079,sst2,sentiment,robustness,manages to be sweet and wickedly satisfying at the same time . ,manages too be sweet and wickedly satisfying at the same time .,invariance,0.8333333333333334,1.0,1.0,1.0,0.9583333333333334,False,
sst2_robust_0080,sst2,sentiment,robustness,i got a headache watching this meaningless downer . ,i gott a headache watching this meaningless downer .,invariance,0.7777777777777778,1.0,1.0,1.0,0.9444444444444444,False,
sst2_robust_0081,sst2,sentiment,robustness,it 's a stunning lyrical work of considerable force and truth . ,it 'ss a stunning lyrical work of considerable force and truth .,invariance,0.8333333333333334,1.0,1.0,1.0,0.9583333333333334,False,
sst2_robust_0082,sst2,sentiment,robustness,"i 've always dreamed of attending cannes , but after seeing this film , it 's not that big a deal . ","i 've always dreamed of attending cannes , but after seeing this fiilm , it 's not that big a deal . ",invariance,0.9,1.0,1.0,1.0,0.975,False,
sst2_robust_0083,sst2,sentiment,robustness,"so much facile technique , such cute ideas , so little movie . ","so much facile technique , such cute ideas , so little moovie . ",invariance,0.8,1.0,1.0,1.0,0.95,False,
sst2_robust_0084,sst2,sentiment,robustness,"the movie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second . ","the moovie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second . ",invariance,0.9130434782608695,1.0,1.0,1.0,0.9782608695652174,False,
sst2_robust_0085,sst2,sentiment,robustness,just not campy enough ,just nott campy enough,invariance,0.6,1.0,1.0,1.0,0.9,False,
sst2_robust_0086,sst2,sentiment,robustness,when leguizamo finally plugged an irritating character late in the movie . ,when leguizamo finally plugged an irritating character late in the moovie . ,invariance,0.8333333333333334,1.0,1.0,1.0,0.9583333333333334,False,
sst2_robust_0087,sst2,sentiment,robustness,"visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality . ","visually imaginativee , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality .",invariance,0.9310344827586207,1.0,1.0,1.0,0.9827586206896551,False,
sst2_robust_0088,sst2,sentiment,robustness,"( e ) ventually , every idea in this film is flushed down the latrine of heroism . ","( e ) ventually , every idea in this fiilm is flushed down the latrine of heroism . ",invariance,0.8666666666666667,1.0,1.0,1.0,0.9666666666666667,False,
sst2_robust_0089,sst2,sentiment,robustness,the story and structure are well-honed . ,the storyy and structure are well-honed .,invariance,0.75,1.0,1.0,1.0,0.9375,False,
