annotator_id,method,sample_id,dataset,model,capability,input_text,expected_label,predicted_label,failure_reason,report_text,correctness_1_to_5,understandability_1_to_5,usefulness_1_to_5,actionability_1_to_5,comments
A1,Standard CheckList,imdb_robust_0088,imdb,roberta,robustness,"King Vladislav (Angus Scrimm) of Romania is a vampire, but a vampire of light who wants nothing more than to live in peace and harmony with mankind. But his son, Radu (Anders Hove), is a cruel creature to his very heart (which is pretty obvious as soon as you see him). Three female students have come to study local folklore, but find themselves drawn into the vampires legends at just the wrong time: Vladislav has been killed.<br /><br />Who can say anything bad about a film featuring a cameo fro",POSITIVE,NEGATIVE,N/A,"Standard CheckList report: Dataset: imdb. Model: roberta. Capability: robustness. Relation: invariance. Input: King Vladislav (Angus Scrimm) of Romania is a vampire, but a vampire of light who wants nothing more than to live in peace and harmony with mankind. But his son, Radu (Anders Hove), is a cruel creature to his very heart (which is pretty obvious as soon as you see him). Three female students have come to study local folklore, but find themselves drawn into the vampires legends at just the wrong time: Vladislav has been killed.<br /><br />Who can say anything bad about a film featuring a cameo fro. Expected label: POSITIVE. Predicted label: NEGATIVE. The report identifies this as a failed behavioral test because the predicted label does not match the expected label. No attribution evidence, counterfactual validation, or detailed failure reason is provided.",,,,,
A2,Standard CheckList,imdb_robust_0088,imdb,roberta,robustness,"King Vladislav (Angus Scrimm) of Romania is a vampire, but a vampire of light who wants nothing more than to live in peace and harmony with mankind. But his son, Radu (Anders Hove), is a cruel creature to his very heart (which is pretty obvious as soon as you see him). Three female students have come to study local folklore, but find themselves drawn into the vampires legends at just the wrong time: Vladislav has been killed.<br /><br />Who can say anything bad about a film featuring a cameo fro",POSITIVE,NEGATIVE,N/A,"Standard CheckList report: Dataset: imdb. Model: roberta. Capability: robustness. Relation: invariance. Input: King Vladislav (Angus Scrimm) of Romania is a vampire, but a vampire of light who wants nothing more than to live in peace and harmony with mankind. But his son, Radu (Anders Hove), is a cruel creature to his very heart (which is pretty obvious as soon as you see him). Three female students have come to study local folklore, but find themselves drawn into the vampires legends at just the wrong time: Vladislav has been killed.<br /><br />Who can say anything bad about a film featuring a cameo fro. Expected label: POSITIVE. Predicted label: NEGATIVE. The report identifies this as a failed behavioral test because the predicted label does not match the expected label. No attribution evidence, counterfactual validation, or detailed failure reason is provided.",,,,,
A1,CheckList + Attribution,imdb_robust_0088,imdb,roberta,robustness,"King Vladislav (Angus Scrimm) of Romania is a vampire, but a vampire of light who wants nothing more than to live in peace and harmony with mankind. But his son, Radu (Anders Hove), is a cruel creature to his very heart (which is pretty obvious as soon as you see him). Three female students have come to study local folklore, but find themselves drawn into the vampires legends at just the wrong time: Vladislav has been killed.<br /><br />Who can say anything bad about a film featuring a cameo fro",POSITIVE,NEGATIVE,N/A,"CheckList + Attribution report: Dataset: imdb. Model: roberta. Capability: robustness. Relation: invariance. Input: King Vladislav (Angus Scrimm) of Romania is a vampire, but a vampire of light who wants nothing more than to live in peace and harmony with mankind. But his son, Radu (Anders Hove), is a cruel creature to his very heart (which is pretty obvious as soon as you see him). Three female students have come to study local folklore, but find themselves drawn into the vampires legends at just the wrong time: Vladislav has been killed.<br /><br />Who can say anything bad about a film featuring a cameo fro. Expected label: POSITIVE. Predicted label: NEGATIVE. The report adds token-level attribution evidence. Attribution Mismatch Score AM=0.500; cue attribution ratio=0.000. Top attributed tokens: [[""cameo"", 0.10507157249447648], [""bad"", 0.06885488615165868], [""a"", 0.05048089929936897], [""say"", 0.03845237651121813], [""anything"", 0.03690007614460166], [""who"", 0.0366970002593613], [""featuring"", 0.036037505142503534], [""film"", 0.031035997349639535], [""fro"", 0.030999848175595684], [""about"", 0.02629619942462761]]. This report suggests whether the model focused on expected cues or misleading tokens, but it does not validate the explanation using counterfactual behavior.",,,,,
A2,CheckList + Attribution,imdb_robust_0088,imdb,roberta,robustness,"King Vladislav (Angus Scrimm) of Romania is a vampire, but a vampire of light who wants nothing more than to live in peace and harmony with mankind. But his son, Radu (Anders Hove), is a cruel creature to his very heart (which is pretty obvious as soon as you see him). Three female students have come to study local folklore, but find themselves drawn into the vampires legends at just the wrong time: Vladislav has been killed.<br /><br />Who can say anything bad about a film featuring a cameo fro",POSITIVE,NEGATIVE,N/A,"CheckList + Attribution report: Dataset: imdb. Model: roberta. Capability: robustness. Relation: invariance. Input: King Vladislav (Angus Scrimm) of Romania is a vampire, but a vampire of light who wants nothing more than to live in peace and harmony with mankind. But his son, Radu (Anders Hove), is a cruel creature to his very heart (which is pretty obvious as soon as you see him). Three female students have come to study local folklore, but find themselves drawn into the vampires legends at just the wrong time: Vladislav has been killed.<br /><br />Who can say anything bad about a film featuring a cameo fro. Expected label: POSITIVE. Predicted label: NEGATIVE. The report adds token-level attribution evidence. Attribution Mismatch Score AM=0.500; cue attribution ratio=0.000. Top attributed tokens: [[""cameo"", 0.10507157249447648], [""bad"", 0.06885488615165868], [""a"", 0.05048089929936897], [""say"", 0.03845237651121813], [""anything"", 0.03690007614460166], [""who"", 0.0366970002593613], [""featuring"", 0.036037505142503534], [""film"", 0.031035997349639535], [""fro"", 0.030999848175595684], [""about"", 0.02629619942462761]]. This report suggests whether the model focused on expected cues or misleading tokens, but it does not validate the explanation using counterfactual behavior.",,,,,
A1,CheckList + Counterfactual,imdb_robust_0088,imdb,roberta,robustness,"King Vladislav (Angus Scrimm) of Romania is a vampire, but a vampire of light who wants nothing more than to live in peace and harmony with mankind. But his son, Radu (Anders Hove), is a cruel creature to his very heart (which is pretty obvious as soon as you see him). Three female students have come to study local folklore, but find themselves drawn into the vampires legends at just the wrong time: Vladislav has been killed.<br /><br />Who can say anything bad about a film featuring a cameo fro",POSITIVE,NEGATIVE,N/A,"CheckList + Counterfactual report: Dataset: imdb. Model: roberta. Capability: robustness. Relation: invariance. Input: King Vladislav (Angus Scrimm) of Romania is a vampire, but a vampire of light who wants nothing more than to live in peace and harmony with mankind. But his son, Radu (Anders Hove), is a cruel creature to his very heart (which is pretty obvious as soon as you see him). Three female students have come to study local folklore, but find themselves drawn into the vampires legends at just the wrong time: Vladislav has been killed.<br /><br />Who can say anything bad about a film featuring a cameo fro. Expected label: POSITIVE. Predicted label: NEGATIVE. The counterfactual prediction was NEGATIVE, with counterfactual fail status=1. Counterfactual sensitivity CS=0.126. This report shows whether the model changed under a controlled counterfactual input, but it does not include token-level attribution or a full explanation-validated failure score.",,,,,
A2,CheckList + Counterfactual,imdb_robust_0088,imdb,roberta,robustness,"King Vladislav (Angus Scrimm) of Romania is a vampire, but a vampire of light who wants nothing more than to live in peace and harmony with mankind. But his son, Radu (Anders Hove), is a cruel creature to his very heart (which is pretty obvious as soon as you see him). Three female students have come to study local folklore, but find themselves drawn into the vampires legends at just the wrong time: Vladislav has been killed.<br /><br />Who can say anything bad about a film featuring a cameo fro",POSITIVE,NEGATIVE,N/A,"CheckList + Counterfactual report: Dataset: imdb. Model: roberta. Capability: robustness. Relation: invariance. Input: King Vladislav (Angus Scrimm) of Romania is a vampire, but a vampire of light who wants nothing more than to live in peace and harmony with mankind. But his son, Radu (Anders Hove), is a cruel creature to his very heart (which is pretty obvious as soon as you see him). Three female students have come to study local folklore, but find themselves drawn into the vampires legends at just the wrong time: Vladislav has been killed.<br /><br />Who can say anything bad about a film featuring a cameo fro. Expected label: POSITIVE. Predicted label: NEGATIVE. The counterfactual prediction was NEGATIVE, with counterfactual fail status=1. Counterfactual sensitivity CS=0.126. This report shows whether the model changed under a controlled counterfactual input, but it does not include token-level attribution or a full explanation-validated failure score.",,,,,
A1,X-CheckList,snli_lex_0001,snli,roberta,lexical_overlap,The boy is helping the girl. [SEP] The girl is helping the boy.,NEUTRAL,CONTRADICTION,"Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.77, CS=0.00; top tokens: boy:0.25, girl:0.25, helping:0.23, the:0.17, is:0.09.","X-CheckList report: Dataset: snli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The boy is helping the girl. [SEP] The girl is helping the boy.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. Attribution evidence: AM=0.769, cue attribution ratio=0.231, top attributed tokens=[[""boy"", 0.25345251483562575], [""girl"", 0.24978522806918277], [""helping"", 0.2312071519314115], [""the"", 0.1716305725682124], [""is"", 0.0939245325955676]]. Counterfactual evidence: counterfactual predicted label=ENTAILMENT, counterfactual fail status=0, CS=0.002. Explanation-Validated Failure Score EVFS=0.767. Diagnostic failure reason: Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.77, CS=0.00; top tokens: boy:0.25, girl:0.25, helping:0.23, the:0.17, is:0.09.",,,,,
A2,X-CheckList,snli_lex_0001,snli,roberta,lexical_overlap,The boy is helping the girl. [SEP] The girl is helping the boy.,NEUTRAL,CONTRADICTION,"Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.77, CS=0.00; top tokens: boy:0.25, girl:0.25, helping:0.23, the:0.17, is:0.09.","X-CheckList report: Dataset: snli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The boy is helping the girl. [SEP] The girl is helping the boy.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. Attribution evidence: AM=0.769, cue attribution ratio=0.231, top attributed tokens=[[""boy"", 0.25345251483562575], [""girl"", 0.24978522806918277], [""helping"", 0.2312071519314115], [""the"", 0.1716305725682124], [""is"", 0.0939245325955676]]. Counterfactual evidence: counterfactual predicted label=ENTAILMENT, counterfactual fail status=0, CS=0.002. Explanation-Validated Failure Score EVFS=0.767. Diagnostic failure reason: Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.77, CS=0.00; top tokens: boy:0.25, girl:0.25, helping:0.23, the:0.17, is:0.09.",,,,,
A1,Standard CheckList,snli_lex_0001,snli,roberta,lexical_overlap,The boy is helping the girl. [SEP] The girl is helping the boy.,NEUTRAL,CONTRADICTION,N/A,"Standard CheckList report: Dataset: snli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The boy is helping the girl. [SEP] The girl is helping the boy.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The report identifies this as a failed behavioral test because the predicted label does not match the expected label. No attribution evidence, counterfactual validation, or detailed failure reason is provided.",,,,,
A2,Standard CheckList,snli_lex_0001,snli,roberta,lexical_overlap,The boy is helping the girl. [SEP] The girl is helping the boy.,NEUTRAL,CONTRADICTION,N/A,"Standard CheckList report: Dataset: snli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The boy is helping the girl. [SEP] The girl is helping the boy.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The report identifies this as a failed behavioral test because the predicted label does not match the expected label. No attribution evidence, counterfactual validation, or detailed failure reason is provided.",,,,,
A1,CheckList + Attribution,snli_lex_0001,snli,roberta,lexical_overlap,The boy is helping the girl. [SEP] The girl is helping the boy.,NEUTRAL,CONTRADICTION,N/A,"CheckList + Attribution report: Dataset: snli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The boy is helping the girl. [SEP] The girl is helping the boy.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The report adds token-level attribution evidence. Attribution Mismatch Score AM=0.769; cue attribution ratio=0.231. Top attributed tokens: [[""boy"", 0.25345251483562575], [""girl"", 0.24978522806918277], [""helping"", 0.2312071519314115], [""the"", 0.1716305725682124], [""is"", 0.0939245325955676]]. This report suggests whether the model focused on expected cues or misleading tokens, but it does not validate the explanation using counterfactual behavior.",,,,,
A2,CheckList + Attribution,snli_lex_0001,snli,roberta,lexical_overlap,The boy is helping the girl. [SEP] The girl is helping the boy.,NEUTRAL,CONTRADICTION,N/A,"CheckList + Attribution report: Dataset: snli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The boy is helping the girl. [SEP] The girl is helping the boy.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The report adds token-level attribution evidence. Attribution Mismatch Score AM=0.769; cue attribution ratio=0.231. Top attributed tokens: [[""boy"", 0.25345251483562575], [""girl"", 0.24978522806918277], [""helping"", 0.2312071519314115], [""the"", 0.1716305725682124], [""is"", 0.0939245325955676]]. This report suggests whether the model focused on expected cues or misleading tokens, but it does not validate the explanation using counterfactual behavior.",,,,,
A1,CheckList + Counterfactual,snli_lex_0001,snli,roberta,lexical_overlap,The boy is helping the girl. [SEP] The girl is helping the boy.,NEUTRAL,CONTRADICTION,N/A,"CheckList + Counterfactual report: Dataset: snli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The boy is helping the girl. [SEP] The girl is helping the boy.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The counterfactual prediction was ENTAILMENT, with counterfactual fail status=0. Counterfactual sensitivity CS=0.002. This report shows whether the model changed under a controlled counterfactual input, but it does not include token-level attribution or a full explanation-validated failure score.",,,,,
A2,CheckList + Counterfactual,snli_lex_0001,snli,roberta,lexical_overlap,The boy is helping the girl. [SEP] The girl is helping the boy.,NEUTRAL,CONTRADICTION,N/A,"CheckList + Counterfactual report: Dataset: snli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The boy is helping the girl. [SEP] The girl is helping the boy.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The counterfactual prediction was ENTAILMENT, with counterfactual fail status=0. Counterfactual sensitivity CS=0.002. This report shows whether the model changed under a controlled counterfactual input, but it does not include token-level attribution or a full explanation-validated failure score.",,,,,
A1,X-CheckList,mnli_lex_0001,mnli,roberta,lexical_overlap,The boy is helping the girl. [SEP] The girl is helping the boy.,NEUTRAL,CONTRADICTION,"Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.77, CS=0.00; top tokens: boy:0.25, girl:0.25, helping:0.23, the:0.17, is:0.09.","X-CheckList report: Dataset: mnli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The boy is helping the girl. [SEP] The girl is helping the boy.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. Attribution evidence: AM=0.769, cue attribution ratio=0.231, top attributed tokens=[[""boy"", 0.25345251483562575], [""girl"", 0.24978522806918277], [""helping"", 0.2312071519314115], [""the"", 0.1716305725682124], [""is"", 0.0939245325955676]]. Counterfactual evidence: counterfactual predicted label=ENTAILMENT, counterfactual fail status=0, CS=0.002. Explanation-Validated Failure Score EVFS=0.767. Diagnostic failure reason: Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.77, CS=0.00; top tokens: boy:0.25, girl:0.25, helping:0.23, the:0.17, is:0.09.",,,,,
A2,X-CheckList,mnli_lex_0001,mnli,roberta,lexical_overlap,The boy is helping the girl. [SEP] The girl is helping the boy.,NEUTRAL,CONTRADICTION,"Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.77, CS=0.00; top tokens: boy:0.25, girl:0.25, helping:0.23, the:0.17, is:0.09.","X-CheckList report: Dataset: mnli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The boy is helping the girl. [SEP] The girl is helping the boy.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. Attribution evidence: AM=0.769, cue attribution ratio=0.231, top attributed tokens=[[""boy"", 0.25345251483562575], [""girl"", 0.24978522806918277], [""helping"", 0.2312071519314115], [""the"", 0.1716305725682124], [""is"", 0.0939245325955676]]. Counterfactual evidence: counterfactual predicted label=ENTAILMENT, counterfactual fail status=0, CS=0.002. Explanation-Validated Failure Score EVFS=0.767. Diagnostic failure reason: Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.77, CS=0.00; top tokens: boy:0.25, girl:0.25, helping:0.23, the:0.17, is:0.09.",,,,,
A1,Standard CheckList,mnli_lex_0001,mnli,roberta,lexical_overlap,The boy is helping the girl. [SEP] The girl is helping the boy.,NEUTRAL,CONTRADICTION,N/A,"Standard CheckList report: Dataset: mnli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The boy is helping the girl. [SEP] The girl is helping the boy.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The report identifies this as a failed behavioral test because the predicted label does not match the expected label. No attribution evidence, counterfactual validation, or detailed failure reason is provided.",,,,,
A2,Standard CheckList,mnli_lex_0001,mnli,roberta,lexical_overlap,The boy is helping the girl. [SEP] The girl is helping the boy.,NEUTRAL,CONTRADICTION,N/A,"Standard CheckList report: Dataset: mnli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The boy is helping the girl. [SEP] The girl is helping the boy.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The report identifies this as a failed behavioral test because the predicted label does not match the expected label. No attribution evidence, counterfactual validation, or detailed failure reason is provided.",,,,,
A1,CheckList + Attribution,mnli_lex_0001,mnli,roberta,lexical_overlap,The boy is helping the girl. [SEP] The girl is helping the boy.,NEUTRAL,CONTRADICTION,N/A,"CheckList + Attribution report: Dataset: mnli. Model: roberta. Capability: lexical_overlap. Relation: directional. Input: The boy is helping the girl. [SEP] The girl is helping the boy.. Expected label: NEUTRAL. Predicted label: CONTRADICTION. The report adds token-level attribution evidence. Attribution Mismatch Score AM=0.769; cue attribution ratio=0.231. Top attributed tokens: [[""boy"", 0.25345251483562575], [""girl"", 0.24978522806918277], [""helping"", 0.2312071519314115], [""the"", 0.1716305725682124], [""is"", 0.0939245325955676]]. This report suggests whether the model focused on expected cues or misleading tokens, but it does not validate the explanation using counterfactual behavior.",,,,,
