sentence,label,idx,dataset,task,text,premise,hypothesis,question1,question2,sentence1,sentence2
"an entertaining , colorful , action-filled crime story with an intimate heart . ",1,275.0,sst2,sentiment,,,,,,,
manages to be sweet and wickedly satisfying at the same time . ,1,168.0,sst2,sentiment,,,,,,,
i got a headache watching this meaningless downer . ,0,591.0,sst2,sentiment,,,,,,,
it 's a stunning lyrical work of considerable force and truth . ,1,479.0,sst2,sentiment,,,,,,,
"i 've always dreamed of attending cannes , but after seeing this film , it 's not that big a deal . ",0,548.0,sst2,sentiment,,,,,,,
"so much facile technique , such cute ideas , so little movie . ",1,656.0,sst2,sentiment,,,,,,,
"the movie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second . ",0,819.0,sst2,sentiment,,,,,,,
just not campy enough ,0,578.0,sst2,sentiment,,,,,,,
when leguizamo finally plugged an irritating character late in the movie . ,0,388.0,sst2,sentiment,,,,,,,
"visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality . ",1,857.0,sst2,sentiment,,,,,,,
"( e ) ventually , every idea in this film is flushed down the latrine of heroism . ",0,487.0,sst2,sentiment,,,,,,,
the story and structure are well-honed . ,1,306.0,sst2,sentiment,,,,,,,
"for close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one . ",0,529.0,sst2,sentiment,,,,,,,
a rarity among recent iranian films : it 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight . ,1,259.0,sst2,sentiment,,,,,,,
"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost weight ! ",0,260.0,sst2,sentiment,,,,,,,
"`` mostly martha '' is a bright , light modern day family parable that wears its heart on its sleeve for all to see . ",1,533.0,sst2,sentiment,,,,,,,
a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance ... ,0,704.0,sst2,sentiment,,,,,,,
"too slow , too long and too little happens . ",0,650.0,sst2,sentiment,,,,,,,
"not only are the special effects and narrative flow much improved , and daniel radcliffe more emotionally assertive this time around as harry , but the film conjures the magic of author j.k. rowling 's books . ",1,451.0,sst2,sentiment,,,,,,,
has all the depth of a wading pool . ,0,867.0,sst2,sentiment,,,,,,,
"even in its most tedious scenes , russian ark is mesmerizing . ",1,445.0,sst2,sentiment,,,,,,,
"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . ",1,63.0,sst2,sentiment,,,,,,,
candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work . ,1,825.0,sst2,sentiment,,,,,,,
"this is human comedy at its most amusing , interesting and confirming . ",1,718.0,sst2,sentiment,,,,,,,
"in an effort , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy . ",0,342.0,sst2,sentiment,,,,,,,
you wonder why enough was n't just a music video rather than a full-length movie . ,0,65.0,sst2,sentiment,,,,,,,
"this is not the undisputed worst boxing movie ever , but it 's certainly not a champion - the big loser is the audience . ",0,209.0,sst2,sentiment,,,,,,,
"... a fun little timewaster , helped especially by the cool presence of jean reno . ",1,755.0,sst2,sentiment,,,,,,,
"mcconaughey 's fun to watch , the dragons are okay , not much fire in the script . ",1,865.0,sst2,sentiment,,,,,,,
"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ",1,78.0,sst2,sentiment,,,,,,,
"care deftly captures the wonder and menace of growing up , but he never really embraces the joy of fuhrman 's destructive escapism or the grace-in-rebellion found by his characters . ",0,513.0,sst2,sentiment,,,,,,,
"less dizzying than just dizzy , the jaunt is practically over before it begins . ",0,710.0,sst2,sentiment,,,,,,,
a coarse and stupid gross-out . ,0,549.0,sst2,sentiment,,,,,,,
serving sara does n't serve up a whole lot of laughs . ,0,298.0,sst2,sentiment,,,,,,,
"writer/director joe carnahan 's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic . ",1,760.0,sst2,sentiment,,,,,,,
"this is an egotistical endeavor from the daughter of horror director dario argento ( a producer here ) , but her raw performance and utter fearlessness make it strangely magnetic . ",1,514.0,sst2,sentiment,,,,,,,
the movie does a good job of laying out some of the major issues that we encounter as we journey through life . ,1,783.0,sst2,sentiment,,,,,,,
a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line . ,0,584.0,sst2,sentiment,,,,,,,
"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . ",0,692.0,sst2,sentiment,,,,,,,
it inspires a continuing and deeply satisfying awareness of the best movies as monumental ` picture shows . ' ,1,457.0,sst2,sentiment,,,,,,,
nothing is sacred in this gut-buster . ,0,377.0,sst2,sentiment,,,,,,,
it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,0,49.0,sst2,sentiment,,,,,,,
"and the lesson , in the end , is nothing new . ",0,208.0,sst2,sentiment,,,,,,,
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ",1,785.0,sst2,sentiment,,,,,,,
brilliantly explores the conflict between following one 's heart and following the demands of tradition . ,1,239.0,sst2,sentiment,,,,,,,
a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love . ,1,717.0,sst2,sentiment,,,,,,,
"it can not be enjoyed , even on the level that one enjoys a bad slasher flick , primarily because it is dull . ",0,581.0,sst2,sentiment,,,,,,,
a taut psychological thriller that does n't waste a moment of its two-hour running time . ,1,630.0,sst2,sentiment,,,,,,,
"a study in shades of gray , offering itself up in subtle plot maneuvers ... ",1,684.0,sst2,sentiment,,,,,,,
"the far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past . ",1,866.0,sst2,sentiment,,,,,,,
"if the first men in black was money , the second is small change . ",0,559.0,sst2,sentiment,,,,,,,
"charles ' entertaining film chronicles seinfeld 's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic adams ' attempts to get his shot at the big time . ",1,426.0,sst2,sentiment,,,,,,,
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0,33.0,sst2,sentiment,,,,,,,
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0,31.0,sst2,sentiment,,,,,,,
"whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie . ",1,235.0,sst2,sentiment,,,,,,,
"with tightly organized efficiency , numerous flashbacks and a constant edge of tension , miller 's film is one of 2002 's involvingly adult surprises . ",1,381.0,sst2,sentiment,,,,,,,
the minor figures surrounding ( bobby ) ... form a gritty urban mosaic . ,1,507.0,sst2,sentiment,,,,,,,
"vera 's three actors -- mollà , gil and bardem -- excel in insightful , empathetic performances . ",1,723.0,sst2,sentiment,,,,,,,
it 's great escapist fun that recreates a place and time that will never happen again . ,1,109.0,sst2,sentiment,,,,,,,
the son 's room is a triumph of gentility that earns its moments of pathos . ,1,77.0,sst2,sentiment,,,,,,,
"but the power of these ( subjects ) is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film 's narrative . ",0,804.0,sst2,sentiment,,,,,,,
it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ,0,82.0,sst2,sentiment,,,,,,,
stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time . ,0,357.0,sst2,sentiment,,,,,,,
light years / several warp speeds / levels and levels of dilithium crystals better than the pitiful insurrection . ,1,495.0,sst2,sentiment,,,,,,,
"the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom . ",0,596.0,sst2,sentiment,,,,,,,
"so , too , is this comedy about mild culture clashing in today 's new delhi . ",1,196.0,sst2,sentiment,,,,,,,
"deliriously funny , fast and loose , accessible to the uninitiated , and full of surprises ",1,290.0,sst2,sentiment,,,,,,,
filmmakers who can deftly change moods are treasures and even marvels . ,1,679.0,sst2,sentiment,,,,,,,
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,5.0,sst2,sentiment,,,,,,,
so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,0,54.0,sst2,sentiment,,,,,,,
"the film is beautifully mounted , but , more to the point , the issues are subtly presented , managing to walk a fine line with regard to the question of joan 's madness . ",1,664.0,sst2,sentiment,,,,,,,
makes for a pretty unpleasant viewing experience . ,0,606.0,sst2,sentiment,,,,,,,
late marriage 's stiffness is unlikely to demonstrate the emotional clout to sweep u.s. viewers off their feet . ,0,824.0,sst2,sentiment,,,,,,,
"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ",1,97.0,sst2,sentiment,,,,,,,
"it 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic . ",0,836.0,sst2,sentiment,,,,,,,
collateral damage finally delivers the goods for schwarzenegger fans . ,1,834.0,sst2,sentiment,,,,,,,
"... mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . ' ",1,847.0,sst2,sentiment,,,,,,,
detox is ultimately a pointless endeavor . ,0,490.0,sst2,sentiment,,,,,,,
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0,25.0,sst2,sentiment,,,,,,,
"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . ",1,84.0,sst2,sentiment,,,,,,,
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,10.0,sst2,sentiment,,,,,,,
"all that 's missing is the spontaneity , originality and delight . ",0,218.0,sst2,sentiment,,,,,,,
"portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama . ",0,365.0,sst2,sentiment,,,,,,,
"outer-space buffs might love this film , but others will find its pleasures intermittent . ",0,405.0,sst2,sentiment,,,,,,,
"offers very little genuine romance and even fewer laughs ... a sad sitcom of a movie , largely devoid of charm . ",0,576.0,sst2,sentiment,,,,,,,
every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,0,118.0,sst2,sentiment,,,,,,,
"suffocated by its fussy script and uptight characters , this musty adaptation is all the more annoying since it 's been packaged and sold back to us by hollywood . ",0,730.0,sst2,sentiment,,,,,,,
its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks . ,0,296.0,sst2,sentiment,,,,,,,
i had to look away - this was god awful . ,0,29.0,sst2,sentiment,,,,,,,
"drops you into a dizzying , volatile , pressure-cooker of a situation that quickly snowballs out of control , while focusing on the what much more than the why . ",1,673.0,sst2,sentiment,,,,,,,
it all adds up to good fun . ,1,393.0,sst2,sentiment,,,,,,,
"at its best , queen is campy fun like the vincent price horror classics of the '60s . ",1,286.0,sst2,sentiment,,,,,,,
to say this was done better in wilder 's some like it hot is like saying the sun rises in the east . ,0,211.0,sst2,sentiment,,,,,,,
"when the film ended , i felt tired and drained and wanted to lie on my own deathbed for a while . ",0,774.0,sst2,sentiment,,,,,,,
"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ",0,81.0,sst2,sentiment,,,,,,,
a film about a young man finding god that is accessible and touching to the marrow . ,1,767.0,sst2,sentiment,,,,,,,
this flick is about as cool and crowd-pleasing as a documentary can get . ,1,626.0,sst2,sentiment,,,,,,,
"although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . ",0,544.0,sst2,sentiment,,,,,,,
"despite its title , punch-drunk love is never heavy-handed . ",1,398.0,sst2,sentiment,,,,,,,
"movie fans , get ready to take off ... the other direction . ",0,764.0,sst2,sentiment,,,,,,,
i 'll bet the video game is a lot more fun than the film . ,0,312.0,sst2,sentiment,,,,,,,
a beguiling splash of pastel colors and prankish comedy from disney . ,1,326.0,sst2,sentiment,,,,,,,
a romantic comedy enriched by a sharp eye for manners and mores . ,1,523.0,sst2,sentiment,,,,,,,
made with no discernible craft and monstrously sanctimonious in dealing with childhood loss . ,0,745.0,sst2,sentiment,,,,,,,
"the humor is forced and heavy-handed , and occasionally simply unpleasant . ",0,368.0,sst2,sentiment,,,,,,,
not since tom cruise in risky business has an actor made such a strong impression in his underwear . ,1,697.0,sst2,sentiment,,,,,,,
"while the ideas about techno-saturation are far from novel , they 're presented with a wry dark humor . ",1,425.0,sst2,sentiment,,,,,,,
"thanks to haynes ' absolute control of the film 's mood , and buoyed by three terrific performances , far from heaven actually pulls off this stylistic juggling act . ",1,473.0,sst2,sentiment,,,,,,,
"may be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation . ",1,758.0,sst2,sentiment,,,,,,,
the film 's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip . ,1,858.0,sst2,sentiment,,,,,,,
"nelson 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle . ",0,750.0,sst2,sentiment,,,,,,,
"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . ",1,266.0,sst2,sentiment,,,,,,,
` easily my choice for one of the year 's best films . ' ,1,360.0,sst2,sentiment,,,,,,,
"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe . ",1,816.0,sst2,sentiment,,,,,,,
or doing last year 's taxes with your ex-wife . ,0,7.0,sst2,sentiment,,,,,,,
"impostor has a handful of thrilling moments and a couple of good performances , but the movie does n't quite fly . ",0,851.0,sst2,sentiment,,,,,,,
a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes . ,0,155.0,sst2,sentiment,,,,,,,
the chateau cleverly probes the cross-cultural differences between gauls and yanks . ,1,331.0,sst2,sentiment,,,,,,,
"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ",0,101.0,sst2,sentiment,,,,,,,
"at its worst , it implodes in a series of very bad special effects . ",0,380.0,sst2,sentiment,,,,,,,
chokes on its own depiction of upper-crust decorum . ,0,281.0,sst2,sentiment,,,,,,,
"displaying about equal amounts of naiveté , passion and talent , beneath clouds establishes sen as a filmmaker of considerable potential . ",1,359.0,sst2,sentiment,,,,,,,
"this time mr. burns is trying something in the martin scorsese street-realist mode , but his self-regarding sentimentality trips him up again . ",0,213.0,sst2,sentiment,,,,,,,
"the sort of film that makes me miss hitchcock , but also feel optimistic that there 's hope for popular cinema yet . ",1,299.0,sst2,sentiment,,,,,,,
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,1,2.0,sst2,sentiment,,,,,,,
"stealing harvard is evidence that the farrelly bros. -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green 's half-hearted movie career . ",0,247.0,sst2,sentiment,,,,,,,
a by-the-numbers patient/doctor pic that covers all the usual ground ,0,478.0,sst2,sentiment,,,,,,,
"if you 've ever entertained the notion of doing what the title of this film implies , what sex with strangers actually shows may put you off the idea forever . ",0,688.0,sst2,sentiment,,,,,,,
"it 's so good that its relentless , polished wit can withstand not only inept school productions , but even oliver parker 's movie adaptation . ",1,280.0,sst2,sentiment,,,,,,,
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0,158.0,sst2,sentiment,,,,,,,
"harrison 's flowers puts its heart in the right place , but its brains are in no particular place at all . ",1,501.0,sst2,sentiment,,,,,,,
this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes . ,1,812.0,sst2,sentiment,,,,,,,
nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay . ,0,551.0,sst2,sentiment,,,,,,,
the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships . ,0,292.0,sst2,sentiment,,,,,,,
the film will play equally well on both the standard and giant screens . ,1,754.0,sst2,sentiment,,,,,,,
the movie 's accumulated force still feels like an ugly knot tightening in your stomach . ,0,412.0,sst2,sentiment,,,,,,,
few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands . ,1,622.0,sst2,sentiment,,,,,,,
"comes off like a rejected abc afterschool special , freshened up by the dunce of a screenwriting 101 class . ",0,521.0,sst2,sentiment,,,,,,,
"it 's of the quality of a lesser harrison ford movie - six days , seven nights , maybe , or that dreadful sabrina remake . ",0,338.0,sst2,sentiment,,,,,,,
"a lackluster , unessential sequel to the classic disney adaptation of j.m. barrie 's peter pan . ",0,653.0,sst2,sentiment,,,,,,,
"the entire movie is about a boring , sad man being boring and sad . ",0,212.0,sst2,sentiment,,,,,,,
"the film 's hackneyed message is not helped by the thin characterizations , nonexistent plot and pretentious visual style . ",0,429.0,sst2,sentiment,,,,,,,
this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ,0,79.0,sst2,sentiment,,,,,,,
feels too formulaic and too familiar to produce the transgressive thrills of early underground work . ,0,148.0,sst2,sentiment,,,,,,,
"there are simply too many ideas floating around -- part farce , part sliding doors , part pop video -- and yet failing to exploit them . ",0,408.0,sst2,sentiment,,,,,,,
yakusho and shimizu ... create engaging characterizations in imamura 's lively and enjoyable cultural mix . ,1,439.0,sst2,sentiment,,,,,,,
"a swashbuckling tale of love , betrayal , revenge and above all , faith . ",1,352.0,sst2,sentiment,,,,,,,
we have n't seen such hilarity since say it is n't so ! ,1,375.0,sst2,sentiment,,,,,,,
attempts by this ensemble film to impart a message are so heavy-handed that they instead pummel the audience . ,0,254.0,sst2,sentiment,,,,,,,
"a very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction . ",0,361.0,sst2,sentiment,,,,,,,
"like mike is a winner for kids , and no doubt a winner for lil bow wow , who can now add movies to the list of things he does well . ",1,660.0,sst2,sentiment,,,,,,,
"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . ",0,133.0,sst2,sentiment,,,,,,,
a tv style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ) . ,0,477.0,sst2,sentiment,,,,,,,
may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen . ,0,165.0,sst2,sentiment,,,,,,,
a superbly acted and funny/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate . ,1,530.0,sst2,sentiment,,,,,,,
